Cadastro;Tipo;Cód. Terreno;Bairro - Código;Bairro - Nome;Logradouro - Código;Logradouro - Nome;Quadra;Lote;Número;Cep;Situação Cadastral
1150847;Unidade;6564;12677;BAIRRO CENTRO;4;PERNAMBUCO;156;10;30;85.960-128;Ativo
1150839;Unidade;59668;12698;BAIRRO ESPIGAO;123;PORTO ALEGRE;2;4;1152;85.960-070;Ativo
1150820;Unidade;236322;12679;BAIRRO BOTAFOGO;724;OSVALDO HEINRICH;3;5;420;85.963-292;Ativo
1150812;Unidade;1084879;12678;BAIRRO ALVORADA;116;RECIFE;3;4;3157;85.963-262;Ativo
1150804;Unidade;1086340;12679;BAIRRO BOTAFOGO;552;SUBURBANA;12;114/C-B;;85.969-899;Ativo
1150790;Unidade;1151339;12681;BAIRRO PRIMAVERA;652;LONDRINA;15;02/A;1234;85.963-154;Ativo
1150782;Unidade;1112058;12681;BAIRRO PRIMAVERA;652;LONDRINA;15;02/B;1240;85.963-154;Ativo
1150774;Unidade;1068636;12692;BAIRRO GUAVIRA;682;WILY JULIO WASEN;2;2;283;85.966-274;Ativo
1150766;Unidade;1068636;12692;BAIRRO GUAVIRA;682;WILY JULIO WASEN;2;2;285;85.966-274;Ativo
1150731;Unidade;1064762;12681;BAIRRO PRIMAVERA;67;CONCORDIA;4;5;4159;85.963-182;Ativo
1150723;Unidade;363766;10;DISTRITO DE PORTO MENDES;247;CAPITAO HEITOR MENDES;116;5;5427;85.973-040;Ativo
1150715;Unidade;254533;12677;BAIRRO CENTRO;44;INDEPENDENCIA;164;7;1375;85.960-180;Ativo
